📺 央视频道,#genre#
武术世界,http://192.168.123.1:20231/rtp/239.21.2.96:5002?fcc=150.138.8.132:8027
汽摩,http://192.168.123.1:20231/rtp/239.21.2.142:5002?fcc=150.138.8.132:8027
海洋频道,http://192.168.123.1:20231/rtp/239.21.2.119:5002?fcc=150.138.8.132:8027
环球旅游,http://192.168.123.1:20231/rtp/239.21.2.115:5002?fcc=150.138.8.132:8027
生态环境,http://192.168.123.1:20231/rtp/239.21.2.160:5002?fcc=150.138.8.132:8027
金色学堂,http://192.168.123.1:20231/rtp/239.21.2.102:5002?fcc=150.138.8.132:8027
书画,http://192.168.123.1:20231/rtp/239.21.2.111:5002?fcc=150.138.8.132:8027
优漫卡通,http://192.168.123.1:20231/rtp/239.21.1.50:5002?fcc=150.138.8.132:8027
新动漫,http://192.168.123.1:20231/rtp/239.21.2.93:5002?fcc=150.138.8.132:8027
优优宝贝,http://192.168.123.1:20231/rtp/239.21.2.94:5002?fcc=150.138.8.132:8027
中国教育-2,http://192.168.123.1:20231/rtp/239.21.2.8:5002?fcc=150.138.8.132:8027
中华特产,http://192.168.123.1:20231/rtp/239.21.2.177:5002?fcc=150.138.8.132:8027
重温经典影视,http://192.168.123.1:20231/rtp/239.21.2.77:5002?fcc=150.138.8.132:8027

🌍 国际频道,#genre#
CCTV-4 美洲,http://192.168.123.1:20231/rtp/239.21.2.29:5002?fcc=150.138.8.132:8027
CCTV-4 欧洲,http://192.168.123.1:20231/rtp/239.21.2.28:5002?fcc=150.138.8.132:8027
CGTN,http://192.168.123.1:20231/rtp/239.21.2.30:5002?fcc=150.138.8.132:8027
CGTN,http://192.168.123.1:20231/rtp/239.21.1.10:5002?fcc=150.138.8.132:8027
CGTN英文纪录,http://192.168.123.1:20231/rtp/239.21.2.31:5002?fcc=150.138.8.132:8027
CGTN西班牙语,http://192.168.123.1:20231/rtp/239.21.2.32:5002?fcc=150.138.8.132:8027
CGTN法语,http://192.168.123.1:20231/rtp/239.21.2.33:5002?fcc=150.138.8.132:8027
CGTN俄语,http://192.168.123.1:20231/rtp/239.21.2.35:5002?fcc=150.138.8.132:8027
CGTN阿拉伯语,http://192.168.123.1:20231/rtp/239.21.2.34:5002?fcc=150.138.8.132:8027

🏠 山东省级,#genre#
山东齐鲁,http://192.168.123.1:20231/rtp/239.21.1.134:5002?fcc=150.138.8.132:8027
山东新闻,http://192.168.123.1:20231/rtp/239.21.1.140:5002?fcc=150.138.8.132:8027
山东综艺,http://192.168.123.1:20231/rtp/239.21.1.177:5002?fcc=150.138.8.132:8027
山东体育,http://192.168.123.1:20231/rtp/239.21.1.141:5002?fcc=150.138.8.132:8027
山东生活,http://192.168.123.1:20231/rtp/239.21.1.175:5002?fcc=150.138.8.132:8027
山东文旅,http://192.168.123.1:20231/rtp/239.21.1.176:5002?fcc=150.138.8.132:8027
山东农科,http://192.168.123.1:20231/rtp/239.21.1.183:5002?fcc=150.138.8.132:8027
山东少儿,http://192.168.123.1:20231/rtp/239.21.1.208:5002?fcc=150.138.8.132:8027
山东教育卫视,http://192.168.123.1:20231/rtp/239.21.1.169:5002?fcc=150.138.8.132:8027
居家购物,http://192.168.123.1:20231/rtp/239.21.1.112:5002?fcc=150.138.8.132:8027

🏙️ 市级频道,#genre#
济南综合,http://192.168.123.1:20231/rtp/239.21.1.62:5002?fcc=150.138.8.132:8027
济南综合,http://192.168.123.1:20231/rtp/239.21.1.94:5002?fcc=150.138.8.132:8027
济南生活,http://192.168.123.1:20231/rtp/239.21.1.64:5002?fcc=150.138.8.132:8027
济南都市,http://192.168.123.1:20231/rtp/239.21.1.63:5002?fcc=150.138.8.132:8027
济南娱乐,http://192.168.123.1:20231/rtp/239.21.1.66:5002?fcc=150.138.8.132:8027
济南体育,http://192.168.123.1:20231/rtp/239.21.1.65:5002?fcc=150.138.8.132:8027
济南教育,http://192.168.123.1:20231/rtp/239.21.1.133:5002?fcc=150.138.8.132:8027
济南少儿,http://192.168.123.1:20231/rtp/239.21.1.68:5002?fcc=150.138.8.132:8027
济南鲁中,http://192.168.123.1:20231/rtp/239.21.1.149:5002?fcc=150.138.8.132:8027
青岛QTV-1,http://192.168.123.1:20231/rtp/239.21.1.69:5002?fcc=150.138.8.132:8027
青岛QTV-2,http://192.168.123.1:20231/rtp/239.21.1.70:5002?fcc=150.138.8.132:8027
青岛QTV-3,http://192.168.123.1:20231/rtp/239.21.1.71:5002?fcc=150.138.8.132:8027
青岛QTV-4,http://192.168.123.1:20231/rtp/239.21.1.72:5002?fcc=150.138.8.132:8027
青岛QTV-5,http://192.168.123.1:20231/rtp/239.21.1.74:5002?fcc=150.138.8.132:8027
烟台综合,http://192.168.123.1:20231/rtp/239.21.1.116:5002?fcc=150.138.8.132:8027
烟台经济,http://192.168.123.1:20231/rtp/239.21.1.205:5002?fcc=150.138.8.132:8027
烟台影视,http://192.168.123.1:20231/rtp/239.21.1.204:5002?fcc=150.138.8.132:8027
烟台公共,http://192.168.123.1:20231/rtp/239.21.1.117:5002?fcc=150.138.8.132:8027
潍坊综合,http://192.168.123.1:20231/rtp/239.21.1.77:5002?fcc=150.138.8.132:8027
潍坊生活,http://192.168.123.1:20231/rtp/239.21.1.78:5002?fcc=150.138.8.132:8027
潍坊公共,http://192.168.123.1:20231/rtp/239.21.2.88:5002?fcc=150.138.8.132:8027
潍坊科教,http://192.168.123.1:20231/rtp/239.21.2.89:5002?fcc=150.138.8.132:8027
潍坊高新区,http://192.168.123.1:20231/rtp/239.21.2.131:5002?fcc=150.138.8.132:8027
济宁综合,http://192.168.123.1:20231/rtp/239.21.2.19:5002?fcc=150.138.8.132:8027
济宁生活,http://192.168.123.1:20231/rtp/239.21.1.139:5002?fcc=150.138.8.132:8027
济宁公共,http://192.168.123.1:20231/rtp/239.21.2.20:5002?fcc=150.138.8.132:8027
济宁高新,http://192.168.123.1:20231/rtp/239.21.2.83:5002?fcc=150.138.8.132:8027
淄博综合,http://192.168.123.1:20231/rtp/239.21.1.84:5002?fcc=150.138.8.132:8027
淄博影视,http://192.168.123.1:20231/rtp/239.21.1.182:5002?fcc=150.138.8.132:8027
淄博民生,http://192.168.123.1:20231/rtp/239.21.1.109:5002?fcc=150.138.8.132:8027
淄博文旅,http://192.168.123.1:20231/rtp/239.21.1.83:5002?fcc=150.138.8.132:8027
聊城综合,http://192.168.123.1:20231/rtp/239.21.1.253:5002?fcc=150.138.8.132:8027
聊城民生,http://192.168.123.1:20231/rtp/239.21.1.254:5002?fcc=150.138.8.132:8027
威海综合,http://192.168.123.1:20231/rtp/239.21.2.155:5002?fcc=150.138.8.132:8027
威海生活,http://192.168.123.1:20231/rtp/239.21.2.156:5002?fcc=150.138.8.132:8027
德州综合,http://192.168.123.1:20231/rtp/239.21.1.75:5002?fcc=150.138.8.132:8027
德州生活,http://192.168.123.1:20231/rtp/239.21.1.76:5002?fcc=150.138.8.132:8027
东营综合,http://192.168.123.1:20231/rtp/239.21.1.81:5002?fcc=150.138.8.132:8027
东营公共,http://192.168.123.1:20231/rtp/239.21.1.82:5002?fcc=150.138.8.132:8027
日照综合,http://192.168.123.1:20231/rtp/239.21.1.79:5002?fcc=150.138.8.132:8027
日照公共,http://192.168.123.1:20231/rtp/239.21.2.81:5002?fcc=150.138.8.132:8027
日照科教,http://192.168.123.1:20231/rtp/239.21.1.80:5002?fcc=150.138.8.132:8027
滨州综合,http://192.168.123.1:20231/rtp/239.21.1.118:5002?fcc=150.138.8.132:8027
滨州民生,http://192.168.123.1:20231/rtp/239.21.1.119:5002?fcc=150.138.8.132:8027
菏泽综合,http://192.168.123.1:20231/rtp/239.21.1.103:5002?fcc=150.138.8.132:8027
菏泽公共,http://192.168.123.1:20231/rtp/239.21.2.18:5002?fcc=150.138.8.132:8027

🏘️ 县级频道,#genre#
历城综合,http://192.168.123.1:20231/rtp/239.21.2.132:5002?fcc=150.138.8.132:8027
济阳综合,http://192.168.123.1:20231/rtp/239.21.1.187:5002?fcc=150.138.8.132:8027
长清综合,http://192.168.123.1:20231/rtp/239.21.1.107:5002?fcc=150.138.8.132:8027
平阴综合,http://192.168.123.1:20231/rtp/239.21.1.221:5002?fcc=150.138.8.132:8027
商河综合,http://192.168.123.1:20231/rtp/239.21.2.53:5002?fcc=150.138.8.132:8027
黄岛综合,http://192.168.123.1:20231/rtp/239.21.2.57:5002?fcc=150.138.8.132:8027
黄岛生活,http://192.168.123.1:20231/rtp/239.21.2.58:5002?fcc=150.138.8.132:8027
崂山综合,http://192.168.123.1:20231/rtp/239.21.1.223:5002?fcc=150.138.8.132:8027
崂山综合,http://192.168.123.1:20231/rtp/239.21.2.122:5002?fcc=150.138.8.132:8027
胶州综合,http://192.168.123.1:20231/rtp/239.21.2.60:5002?fcc=150.138.8.132:8027
平度综合,http://192.168.123.1:20231/rtp/239.21.1.228:5002?fcc=150.138.8.132:8027
莱西综合,http://192.168.123.1:20231/rtp/239.21.1.247:5002?fcc=150.138.8.132:8027
张店综合,http://192.168.123.1:20231/rtp/239.21.2.138:5002?fcc=150.138.8.132:8027
淄川综合,http://192.168.123.1:20231/rtp/239.21.1.160:5002?fcc=150.138.8.132:8027
